"phylum","class","order","family","genus","species","body_mass_kg","brain_mass_kg","brain_body_ratio"
"Annelida","Clitellata","Haplotaxida","Lumbricidae","Lumbricus","Lumbricus terrestris",0.00609,2.14e-05,0.00351395730706076
"Arthropoda","Arachnida","Araneae","Anapidae","Anapisona","Anapisona simoni",8e-07,1.25874e-08,0.01573425
"Arthropoda","Arachnida","Araneae","Araneidae","Argiope","Argiope argentata",0.00025,3.451952e-07,0.0013807808
"Arthropoda","Arachnida","Araneae","Araneidae","Nephila","Nephila clavipes",0.0010056,4.122762e-07,0.007376135
"Arthropoda","Arachnida","Araneae","Araneidae","Zygiella","Zygiella x-notata",3.4e-05,1.28982e-06,0.0390721308576481
"Arthropoda","Arachnida","Araneae","Mysmenidae","Mysmena","Mysmena sp.",1e-07,4.0404e-09,0.040404
"Arthropoda","Arachnida","Araneae","Mysmenidae","Mysmenopsis","Mysmenopsis tengellacompa",3e-07,1.87516e-08,0.0625053333333333
"Arthropoda","Arachnida","Araneae","Tetragnathidae","Leucauge","Leucauge mariana",4e-05,1.461278e-07,0.00467149666666667
"Arthropoda","Arachnida","Araneae","Theridiidae","Faiditus","Faiditus elevatus",2.7e-06,4.4548e-08,0.0171458
"Arthropoda","Arachnida","Araneae","Theridiidae","Faiditus","Faiditus sp.",2.7e-06,5.57368e-08,0.0206432592592593
"Arthropoda","Insecta","Blattodea","Blaberidae","Blaberus","Blaberus craniifer",0.004727,9.7e-06,0.00205204146393061
"Arthropoda","Insecta","Blattodea","Blattidae","Periplaneta","Periplaneta americana",9.2e-05,1.95e-07,0.0021195652173913
"Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis mellifera",8.4e-05,6.6304e-07,0.00789333333333333
"Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus impatiens",0.0002795,1.20176e-06,0.00429967799642218
"Arthropoda","Insecta","Hymenoptera","Formicidae","Acromyrmex","Acromyrmex echinatior",1.1451e-05,1.27e-07,0.0110907344336739
"Arthropoda","Insecta","Hymenoptera","Formicidae","Apterostigma","Apterostigma sp.1",6.235e-07,4.2e-08,0.0673616680032077
"Arthropoda","Insecta","Hymenoptera","Formicidae","Apterostigma","Apterostigma sp.2",7.37e-07,5.1e-08,0.0691994572591588
"Arthropoda","Insecta","Hymenoptera","Formicidae","Apterostigma","Apterostigma sp.3",2.381e-06,8.2e-08,0.0344393112137757
"Arthropoda","Insecta","Hymenoptera","Formicidae","Atta","Atta colombica",2.4978e-05,1.15e-07,0.00460405156537753
"Arthropoda","Insecta","Hymenoptera","Formicidae","Azteca","Azteca sp.1",7.17e-07,5.1e-08,0.0711297071129707
"Arthropoda","Insecta","Hymenoptera","Formicidae","Azteca","Azteca sp.2",1.743e-06,7.2e-08,0.0413080895008606
